QueryId,DocumentId
697,15701
697,18271
697,19483
697,15735
697,19776
219,3861
219,11914
219,4200
219,14947
219,4264
243,5890
243,7643
243,1396
243,9911
243,5029
512,12930
512,3670
512,10235
512,20667
512,12282
432,8079
432,21502
432,5988
432,16740
432,13624
144,19813
144,6667
144,22726
144,14686
144,20356
594,15644
594,14607
594,6507
594,11485
594,20149
4,9232
4,22486
4,7188
4,19747
4,9744
45,782
45,420
45,854
45,10686
45,1950
70,21494
70,1694
70,12840
70,6028
70,22164
336,3655
336,340
336,1184
336,19175
336,9631
451,17902
451,1674
451,21742
451,3108
451,12085
273,18630
273,6105
273,5751
273,1588
273,13989
533,13796
533,11447
533,12021
533,14085
533,15569
367,11774
367,5514
367,5527
367,5516
367,13398
12,1742
12,19
12,184
12,4813
12,12
240,4604
240,3736
240,14214
240,13258
240,21418
695,12826
695,21918
695,20990
695,8924
695,1103
81,4364
81,12130
81,4092
81,842
81,1750
470,11805
470,17035
470,9518
470,14476
470,8285
679,20398
679,13250
679,16095
679,19551
679,21557
674,1101
674,15209
674,6641
674,17227
674,22521
283,14554
283,20543
283,12200
283,12030
283,552
643,8942
643,22372
643,8210
643,14512
643,21037
410,13266
410,8289
410,12879
410,19950
410,9592
235,7426
235,4848
235,4827
235,2374
235,15851
35,7855
35,9294
35,19990
35,2479
35,16573
311,6733
311,10456
311,7474
311,16984
311,7248
315,11074
315,13542
315,10345
315,22611
315,19675
116,4951
116,5437
116,10502
116,9437
116,4628
531,16565
531,16473
531,17182
531,19146
531,20353
623,11430
623,21298
623,21366
623,3088
623,2905
359,2184
359,4996
359,22212
359,19154
359,1227
576,18092
576,6471
576,18099
576,9692
576,19072
593,7744
593,21144
593,7437
593,13464
593,9993
183,10961
183,10289
183,1349
183,7372
183,11551
617,15868
617,15970
617,18754
617,20024
617,9989
554,19546
554,5428
554,13213
554,22972
554,1365
11,745
11,216
11,1582
11,6910
11,5599
453,22304
453,21069
453,8800
453,22753
453,11081
510,12337
510,21040
510,1577
510,566
510,5720
13,4438
13,2305
13,10550
13,11273
13,22577
31,1748
31,1724
31,5960
31,8833
31,1395
396,12123
396,16903
396,20787
396,19364
396,20795
651,20766
651,12839
651,17410
651,11110
651,20171
226,6324
226,12
226,9942
226,34
226,1836
582,8354
582,20876
582,5223
582,9115
582,11311
675,14638
675,3925
675,15534
675,10355
675,8885
501,22311
501,7093
501,12260
501,12251
501,7902
234,8709
234,6792
234,16183
234,12871
234,16249
27,169
27,18412
27,8889
27,21923
27,10509
