QueryId,DocumentId
0,12650
0,40216
0,40724
0,18623
0,34747
0,25874
0,3324
0,12218
0,15400
0,15140
1,1750
1,34189
1,28741
1,7869
1,25069
1,32343
1,1511
1,6311
1,5414
1,12229
2,25779
2,619
2,1728
2,17462
2,17546
2,19311
2,38457
2,7282
2,39447
2,42586
3,28116
3,36900
3,35976
3,23165
3,16471
3,42690
3,971
3,27650
3,36606
3,36952
4,23030
4,43948
4,4759
4,22072
4,44518
4,17906
4,11720
4,16483
4,32830
4,38534
5,18366
5,17242
5,3892
5,44739
5,31002
5,16455
5,26632
5,11024
5,28032
5,13484
6,10546
6,44184
6,39461
6,39035
6,44071
6,1251
6,15401
6,14012
6,32600
6,14346
7,11796
7,29748
7,35133
7,19077
7,11565
7,42846
7,44667
7,4567
7,27419
7,5420
8,22685
8,26260
8,18974
8,40724
8,40635
8,30795
8,44845
8,18071
8,43248
8,11687
9,38443
9,20670
9,9975
9,39711
9,36203
9,16262
9,3203
9,32368
9,34906
9,36382
10,3110
10,16138
10,35495
10,44607
10,12756
10,29438
10,11548
10,9733
10,4199
10,32276
11,38910
11,11995
11,29074
11,9975
11,3110
11,31002
11,40090
11,18379
11,19734
11,36879
12,10097
12,35604
12,7752
12,18358
12,33394
12,37461
12,13751
12,14755
12,10711
12,24674
13,294
13,22225
13,43716
13,30665
13,25206
13,18275
13,31636
13,32120
13,17232
13,12019
14,16631
14,18039
14,12027
14,29214
14,21420
14,37684
14,7790
14,26059
14,32562
14,37152
15,23174
15,8443
15,6889
15,8293
15,18435
15,34266
15,38718
15,22151
15,21285
15,16515
16,39581
16,3110
16,7786
16,11044
16,12601
16,1388
16,16160
16,43957
16,18736
16,31640
17,2862
17,35898
17,3731
17,44122
17,30526
17,16206
17,40857
17,27306
17,27404
17,16471
18,3316
18,32824
18,39711
18,28163
18,1022
18,38470
18,6995
18,10700
18,9982
18,37304
19,39758
19,40094
19,16455
19,36129
19,23300
19,39979
19,11640
19,16358
19,2591
19,7348
20,3110
20,36343
20,17795
20,1728
20,22385
20,41372
20,22743
20,18769
20,9975
20,25034
21,32531
21,3110
21,4372
21,31618
21,971
21,12781
21,30475
21,22609
21,722
21,6339
22,20001
22,42611
22,36952
22,3948
22,19636
22,38449
22,38872
22,26887
22,37236
22,32377
23,20001
23,12750
23,15404
23,16386
23,39758
23,19193
23,3110
23,32531
23,10687
23,43459
24,31002
24,40211
24,16022
24,3110
24,13672
24,36896
24,9914
24,28097
24,31323
24,15443
25,14192
25,17701
25,9982
25,21991
25,27246
25,32096
25,26562
25,18151
25,37775
25,42671
26,14894
26,294
26,40738
26,30837
26,33108
26,33650
26,42994
26,38874
26,36416
26,20445
27,1001
27,11331
27,25735
27,16455
27,10681
27,1388
27,9467
27,4118
27,5645
27,27942
28,38534
28,18713
28,3110
28,31002
28,12350
28,8255
28,14099
28,5148
28,5339
28,18625
29,20180
29,41957
29,17964
29,40130
29,16455
29,41583
29,32185
29,42401
29,15403
29,19841
30,1577
30,30491
30,1147
30,36796
30,44779
30,3261
30,41229
30,38049
30,34960
30,34552
31,16478
31,28509
31,26968
31,39781
31,4759
31,23030
31,34197
31,31029
31,20425
31,24015
32,12221
32,35709
32,36345
32,36163
32,11223
32,44739
32,37081
32,32014
32,1602
32,29118
33,5420
33,38449
33,5830
33,29994
33,458
33,19114
33,13385
33,28425
33,20174
33,8661
34,25630
34,39545
34,44739
34,6970
34,43660
34,4261
34,27419
34,18586
34,1723
34,3892
