QueryId,DocumentId
412,10266
412,28656
412,25994
412,10997
412,33515
2,5577
2,4964
2,10629
2,5407
2,33278
253,9443
253,9566
253,23230
253,9869
253,1593
699,17617
699,20793
699,510
699,18124
699,19549
1349,10569
1349,24318
1349,20400
1349,20279
1349,17447
1094,7664
1094,15513
1094,14954
1094,16173
1094,1774
1076,33544
1076,25858
1076,37328
1076,32897
1076,30013
167,23648
167,7702
167,38462
167,11961
167,43526
1544,22915
1544,30824
1544,37470
1544,36341
1544,37466
237,15948
237,15532
237,15644
237,15594
237,38806
159,18335
159,31440
159,4427
159,2431
159,23579
467,9259
467,10288
467,10274
467,24587
467,37692
138,4064
138,17616
138,10632
138,40135
138,3868
1215,33514
1215,37729
1215,38953
1215,33324
1215,31050
855,40272
855,15126
855,23583
855,3682
855,21132
1373,27881
1373,11894
1373,35307
1373,24653
1373,37689
1543,38802
1543,9156
1543,19694
1543,9574
1543,12471
356,44256
356,9874
356,1496
356,10766
356,7654
400,13724
400,11814
400,10264
400,9325
400,12955
216,15589
216,41633
216,43038
216,28383
216,2202
971,15453
971,15775
971,23058
971,6769
971,9461
652,18420
652,18770
652,17776
652,15964
652,8489
1538,31370
1538,24974
1538,8208
1538,32939
1538,25227
1264,34222
1264,37902
1264,34237
1264,44581
1264,30529
1091,43971
1091,28025
1091,38425
1091,39044
1091,27957
1235,19784
1235,22978
1235,20174
1235,20336
1235,23861
1255,35285
1255,34223
1255,34231
1255,36225
1255,35038
1423,36949
1423,34466
1423,36994
1423,33733
1423,33716
974,10159
974,9450
974,10516
974,11621
974,12949
1587,27881
1587,20339
1587,24653
1587,26477
1587,31379
438,43898
438,36945
438,15713
438,42782
438,32315
704,17426
704,21792
704,22264
704,27103
704,19121
594,39180
594,8141
594,1933
594,36438
594,19065
